n317,34.04074,-118.27251
n318,34.03897,-118.27187
n319,34.03915,-118.27467
n320,34.03877,-118.27515
n321,34.0394,-118.27454
n322,34.03966,-118.27438
n323,34.03862,-118.26373
n324,34.03865,-118.26382
n325,34.03859,-118.27835
n326,34.03856,-118.27811
n327,34.03862,-118.27733
n328,34.03865,-118.27644
n329,34.03859,-118.27586
n330,34.03842,-118.27713
n331,34.03868,-118.27547
n332,34.03853,-118.28114
n333,34.03842,-118.26459
n334,34.03831,-118.27406
n335,34.03836,-118.27428
n336,34.03838,-118.2747
n337,34.03831,-118.25397
n338,34.0383,-118.26321
n339,34.03801,-118.26978
n340,34.03964,-118.26875
n341,34.0383,-118.27895
n342,34.03813,-118.28023
n343,34.03835,-118.27858
n344,34.03814,-118.28402
n345,34.03817,-118.28582
n346,34.03818,-118.2849
n347,34.03818,-118.28427
n348,34.03818,-118.28478
n349,34.03815,-118.28644
n350,34.03815,-118.29163
n351,34.03814,-118.27176
n352,34.03822,-118.27194
n353,34.03844,-118.27242
n354,34.0385,-118.27257
n355,34.03876,-118.27315
n356,34.03813,-118.26289
n357,34.03812,-118.30032
n358,34.03801,-118.25111
n359,34.03807,-118.25121
n360,34.03789,-118.27979
n361,34.03773,-118.28139
n362,34.03801,-118.28
n363,34.03798,-118.26266
n364,34.03786,-118.27563
n365,34.03792,-118.27435
n366,34.03792,-118.27432
n367,34.03792,-118.27413
n368,34.03792,-118.27399
n369,34.0379,-118.27373
n370,34.03787,-118.27344
n371,34.03787,-118.27312
n372,34.03783,-118.27966
n373,34.03796,-118.27711
n374,34.03799,-118.27591
n375,34.03773,-118.28581
n376,34.03775,-118.27374
n377,34.03767,-118.27341
n378,34.03778,-118.274
n379,34.03779,-118.27414
n380,34.0378,-118.2743
n381,34.0378,-118.27437
n382,34.03769,-118.30902
n383,34.03766,-118.26208
n384,34.03764,-118.2793
n385,34.03784,-118.27676
n386,34.03784,-118.27602
n387,34.03764,-118.2793
n388,34.03783,-118.27966
n389,34.03789,-118.27979
n390,34.03801,-118.28
n391,34.03813,-118.28023
n392,34.03761,-118.25307
n393,34.03758,-118.25938
n394,34.03755,-118.30032
n395,34.03746,-118.29163
n396,34.03752,-118.30179
n397,34.03746,-118.30305
n398,34.03755,-118.27699
n399,34.03729,-118.27658
n400,34.03761,-118.27727
n401,34.03767,-118.27802
n402,34.03741,-118.27702
n403,34.03749,-118.27733
n404,34.03751,-118.27766
n405,34.03741,-118.27106
n406,34.03795,-118.27177
n407,34.03822,-118.27194
n408,34.03743,-118.30472
n409,34.0374,-118.27016
n410,34.0374,-118.28406
n411,34.03738,-118.28466
n412,34.03743,-118.2853
n413,34.03747,-118.28549
n414,34.03753,-118.28563
n415,34.03737,-118.27863
n416,34.03748,-118.27827
n417,34.03749,-118.27808
n418,34.03749,-118.31013
n419,34.03743,-118.31091
n420,34.03743,-118.30901
n421,34.03737,-118.30566
n422,34.03737,-118.30125
n423,34.03729,-118.29694
n424,34.03732,-118.30032
n425,34.03728,-118.25037
n426,34.03746,-118.29242
n427,34.03728,-118.29497
n428,34.03726,-118.29613
n429,34.03726,-118.29633
n430,34.03712,-118.27811
n431,34.03725,-118.27815
n432,34.03734,-118.27814
n433,34.0374,-118.27805
n434,34.03723,-118.26942
n435,34.03723,-118.28519
n436,34.0372,-118.2654
n437,34.0372,-118.30389
n438,34.03719,-118.28867
n439,34.03746,-118.29105
n440,34.0372,-118.29161
n441,34.03719,-118.28796
n442,34.0374,-118.2861
n443,34.0375,-118.28594
n444,34.03716,-118.30032
n445,34.03711,-118.26109
n446,34.03709,-118.29422
n447,34.03702,-118.28661
n448,34.037,-118.30406
n449,34.03697,-118.30032
n450,34.03696,-118.26881
n451,34.03696,-118.27773
n452,34.03691,-118.25217
n453,34.03685,-118.27589
n454,34.0366,-118.27562
n455,34.03714,-118.27606
n456,34.03748,-118.27611
n457,34.03784,-118.27602
n458,34.03799,-118.27591
n459,34.03818,-118.27577
n460,34.03839,-118.27554
n461,34.03845,-118.27548
n462,34.03865,-118.27522
n463,34.03874,-118.27486
n464,34.03876,-118.27444
n465,34.03873,-118.27419
n466,34.03868,-118.27402
n467,34.03865,-118.27386
n468,34.03859,-118.2737
n469,34.03854,-118.27351
n470,34.03839,-118.27313
n471,34.03827,-118.27286
n472,34.03676,-118.27594
n473,34.03711,-118.27637
n474,34.03688,-118.27754
n475,34.03682,-118.30898
n476,34.03685,-118.30646
n477,34.03691,-118.31094
n478,34.03679,-118.30122
n479,34.03679,-118.30032
n480,34.03676,-118.29587
n481,34.03691,-118.29462
n482,34.03673,-118.29536
n483,34.03677,-118.30298
n484,34.03685,-118.30376
n485,34.03687,-118.30518
n486,34.03673,-118.29675
n487,34.03671,-118.29639
n488,34.03679,-118.2989
n489,34.03651,-118.25111
n490,34.03691,-118.25072
n491,34.03671,-118.29161
n492,34.03668,-118.28873
