10	12	36
3	6	36	35.843
3	7	12	46.878
3	7	13	30.255
3	7	14	30.049
3	7	15	29.193
3	7	16	28.916
3	7	17	28.782
3	7	18	27.330
3	7	19	27.154
3	7	20	27.184
3	7	21	26.430
3	7	22	26.306
3	7	23	26.344
3	7	24	27.157
3	7	25	27.171
3	7	26	27.146
3	7	27	27.155
3	7	28	27.051
3	7	29	28.222
3	7	30	29.222
3	7	31	29.391
3	7	32	30.319
3	7	33	30.912
3	7	34	28.149
3	7	35	32.696
3	7	36	36.409
3	8	12	42.673
3	8	13	29.251
3	8	14	29.098
3	8	15	28.275
3	8	16	27.959
3	8	17	27.756
3	8	18	26.333
3	8	19	26.095
3	8	20	26.192
3	8	21	25.516
3	8	22	25.385
3	8	23	25.438
3	8	24	26.123
3	8	25	26.124
3	8	26	26.143
3	8	27	26.128
3	8	28	25.927
3	8	29	27.689
3	8	30	27.546
3	8	31	27.389
3	8	32	29.600
3	8	33	26.997
3	8	34	26.418
3	8	35	29.425
3	8	36	31.491
3	9	12	55.235
3	9	13	37.421
3	9	14	36.995
3	9	15	36.856
3	9	16	36.698
3	9	17	38.089
3	9	18	36.891
3	9	19	35.566
3	9	20	35.410
3	9	21	34.709
3	9	22	34.556
3	9	23	35.008
3	9	24	34.765
3	9	25	34.811
3	9	26	34.722
3	9	27	34.798
3	9	28	34.308
3	9	29	34.841
3	9	30	35.285
3	9	31	35.463
3	9	32	36.394
3	9	33	37.855
3	9	34	39.052
3	9	35	43.330
3	9	36	47.482
4	0	12	42.909
4	0	13	31.024
4	0	14	30.816
4	0	15	30.241
4	0	16	30.339
4	0	17	30.263
4	0	18	29.695
4	0	19	28.886
4	0	20	28.717
4	0	21	27.933
4	0	22	27.882
4	0	23	28.182
4	0	24	27.308
4	0	25	28.350
4	0	26	27.308
4	0	27	27.275
4	0	28	27.312
4	0	29	27.316
4	0	30	27.349
4	0	31	27.445
4	0	32	27.450
4	0	33	27.625
4	0	34	28.377
4	0	35	28.384
4	0	36	28.246
4	1	12	35.348
4	1	13	25.201
4	1	14	24.992
4	1	15	24.423
4	1	16	24.517
4	1	17	24.446
4	1	18	23.975
4	1	19	23.463
4	1	20	23.337
4	1	21	23.283
4	1	22	23.342
4	1	23	23.229
4	1	24	23.126
4	1	25	23.092
4	1	26	23.587
4	1	27	23.502
4	1	28	23.490
4	1	29	23.359
4	1	30	23.738
4	1	31	23.255
4	1	32	23.335
4	1	33	23.435
4	1	34	23.463
4	1	35	23.532
4	1	36	23.543
4	2	12	36.686
4	2	13	27.130
4	2	14	26.936
4	2	15	26.001
4	2	16	25.329
4	2	17	26.468
4	2	18	25.704
4	2	19	25.511
4	2	20	24.421
4	2	21	23.814
4	2	22	23.693
4	2	23	24.216
4	2	24	23.337
4	2	25	23.699
4	2	26	23.432
4	2	27	23.420
4	2	28	23.449
4	2	29	23.349
4	2	30	23.496
4	2	31	23.563
4	2	32	23.601
4	2	33	23.612
4	2	34	23.430
4	2	35	23.458
4	2	36	23.314
4	3	12	41.084
4	3	13	29.517
4	3	14	29.282
4	3	15	28.696
4	3	16	28.802
4	3	17	28.755
4	3	18	28.428
4	3	19	27.784
4	3	20	27.637
4	3	21	28.140
4	3	22	28.160
4	3	23	28.128
4	3	24	27.781
4	3	25	28.278
4	3	26	27.608
4	3	27	27.785
4	3	28	26.458
4	3	29	28.443
4	3	30	28.431
4	3	31	28.712
4	3	32	29.004
4	3	33	29.099
4	3	34	29.786
4	3	35	30.013
4	3	36	29.060
4	4	12	0.000
4	4	13	0.000
4	4	14	0.000
4	4	15	0.000
4	4	16	0.000
4	4	17	0.000
